ID,Title,Year,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors,Type
228,Kon-Tiki,2012,13.0,7.2,1,0,1,0,"Joachim Rønning,Espen Sandberg",0
229,Mary Poppins Returns,2018,7.0,6.7,1,0,0,0,Rob Marshall,0
230,Kajaki,2014,18.0,7.1,1,0,0,0,Paul Katis,0
231,The Fear of 13,2015,,7.7,1,0,0,0,David Sington,0
232,The Night Comes for Us,2018,18.0,7.0,1,0,0,0,Timo Tjahjanto,0
233,Blood Father,2016,18.0,6.4,1,0,0,0,Jean-François Richet,0
234,Stree,2018,7.0,7.6,1,0,0,0,Amar Kaushik,0
235,American Factory,2019,16.0,7.4,1,0,0,0,"Steven Bognar,Julia Reichert",0
236,Code 8,2019,,6.1,1,0,0,0,Jeff Chan,0
237,Salt,2010,13.0,6.4,1,0,0,0,Phillip Noyce,0
238,The Hundred-Foot Journey,2014,7.0,7.3,1,0,0,0,Lasse Hallström,0
239,The Distinguished Citizen,2016,,7.5,1,0,0,0,"Gastón Duprat,Mariano Cohn",0
240,Scooby-Doo on Zombie Island,1998,7.0,7.8,1,0,0,0,"Hiroshi Aoyama,Kazumi Fukushima,Jim Stenstrum",0
241,Chasing Coral,2017,,8.1,1,0,0,0,Jeff Orlowski,0
242,The End of the Tour,2015,18.0,7.3,1,0,0,0,James Ponsoldt,0
243,The One I Love,2014,18.0,7.1,1,0,0,0,Charlie McDowell,0
244,Underworld,2003,18.0,7.0,1,0,0,0,Len Wiseman,0
245,The Death of Mr. Lazarescu,2005,18.0,7.9,1,0,0,0,Cristi Puiu,0
246,Madagascar: Escape 2 Africa,2008,7.0,6.6,1,0,0,0,"Eric Darnell,Tom McGrath",0
247,The Wolf's Call,2019,16.0,6.9,1,0,0,0,Antonin Baudry,0
248,What Happened to Monday,2017,18.0,6.9,1,0,0,0,Tommy Wirkola,0
249,The Willoughbys,2020,7.0,6.4,1,0,0,0,"Kris Pearn,Cory Evans,Rob Lodermeier",0
250,The White Helmets,2016,16.0,7.5,1,0,0,0,Orlando von Einsiedel,0
251,Suburra,2015,,7.4,1,0,0,0,,0
252,The Matrix Revolutions,2003,18.0,6.8,1,0,0,0,"Lana Wachowski,Lilly Wachowski",0
253,Richard Pryor: Live in Concert,1979,18.0,8.2,1,0,0,0,Jeff Margolis,0
254,Austin Powers: The Spy Who Shagged Me,1999,13.0,6.6,1,0,0,0,Jay Roach,0
255,Get Him to the Greek,2010,18.0,6.4,1,0,0,0,Nicholas Stoller,0
256,Slow West,2015,18.0,6.9,1,0,0,0,John Maclean,0
257,The Meyerowitz Stories (New and Selected),2017,18.0,6.9,1,0,0,0,Noah Baumbach,0
258,The Battered Bastards of Baseball,2014,,8.0,1,0,0,0,"Chapman Way,Maclain Way",0
259,The Perfection,2018,18.0,6.1,1,0,0,0,Richard Shepard,0
260,Ip Man 3,2015,13.0,7.1,1,0,0,0,Wilson Yip,0
261,Sinister,2012,18.0,6.8,1,0,0,0,Scott Derrickson,0
262,Rush: Beyond the Lighted Stage,2010,,8.4,1,0,0,0,"Sam Dunn,Scot McFadyen",0
263,20 Feet from Stardom,2013,13.0,7.4,1,0,0,0,Morgan Neville,0
264,The Stanford Prison Experiment,2015,18.0,6.9,1,0,0,0,Kyle Patrick Alvarez,0
265,My Week with Marilyn,2011,13.0,7.0,1,0,0,0,Simon Curtis,0
266,Catfish,2010,13.0,7.1,1,0,0,0,"Henry Joost,Ariel Schulman",0
267,Secret Superstar,2017,,7.9,1,0,0,0,Advait Chandan,0
268,Private Life,2018,,7.2,1,0,0,0,Tamara Jenkins,0
269,Jarhead,2005,18.0,7.0,1,0,0,0,Sam Mendes,0
270,Yes Man,2008,13.0,6.8,1,0,0,0,Peyton Reed,0
271,For the Love of Spock,2016,,7.6,1,0,0,0,Adam Nimoy,0
272,Goon,2012,18.0,6.8,1,0,0,0,Michael Dowse,0
273,Ace Ventura: Pet Detective,1994,13.0,6.9,1,0,0,0,Tom Shadyac,0
274,Inequality for All,2013,7.0,8.0,1,0,0,0,Jacob Kornbluth,0
275,Olympus Has Fallen,2013,18.0,6.5,1,0,0,0,Antoine Fuqua,0
276,Dave Chappelle: Sticks & Stones,2019,18.0,8.5,1,0,0,0,Stan Lathan,0
277,John Mulaney: Kid Gorgeous at Radio City,2018,18.0,7.9,1,0,0,0,Alex Timbers,0
278,La Bamba,1987,13.0,6.9,1,0,0,0,Luis Valdez,0
279,Public Enemies,2009,18.0,7.0,1,0,0,0,Michael Mann,0
280,Supersonic,2016,18.0,7.9,1,0,0,0,Mat Whitecross,0
281,The Edge of Democracy,2019,16.0,7.1,1,0,0,0,Petra Costa,0
282,The Polar Express,2004,7.0,6.6,1,0,0,0,Robert Zemeckis,0
283,Under the Skin,2014,18.0,6.3,1,0,0,0,Jonathan Glazer,0
284,Crip Camp: A Disability Revolution,2020,18.0,7.8,1,0,0,0,"James Lebrecht,Nicole Newnham",0
285,Tell Me Who I Am,2019,,7.6,1,0,0,0,Ed Perkins,0
286,Hey Arnold! The Jungle Movie,2017,7.0,7.6,1,1,0,0,"Raymie Muzquiz,Stu Livingston",0
287,Zack and Miri Make a Porno,2008,18.0,6.5,1,0,0,0,Kevin Smith,0
288,The Score,2001,18.0,6.8,1,0,1,0,Frank Oz,0
289,Hamburger Hill,1987,18.0,6.7,1,0,1,0,John Irvin,0
290,9,2009,13.0,7.1,1,0,0,0,Shane Acker,0
291,Undefeated,2011,13.0,7.7,1,0,0,0,"Daniel Lindsay,T.J. Martin",0
292,Team Foxcatcher,2016,,7.3,1,0,0,0,Jon Greenhalgh,0
293,A Shaun the Sheep Movie: Farmageddon,2019,7.0,6.9,1,0,0,0,"Will Becher,Richard Phelan",0
294,April and the Extraordinary World,2015,7.0,7.3,1,0,0,0,"Christian Desmares,Franck Ekinci",0
295,The Highwaymen,2019,18.0,6.9,1,0,0,0,John Lee Hancock,0
296,Legend,2015,18.0,6.9,1,0,0,0,Brian Helgeland,0
297,Boy & the World,2014,7.0,7.6,1,0,0,0,Alê Abreu,0
298,Creep 2,2017,,6.4,1,0,0,0,Patrick Brice,0
299,Terminator 3: Rise of the Machines,2003,18.0,6.3,1,0,0,0,Jonathan Mostow,0
300,Unrest,2017,,7.7,1,0,0,0,Jason Todd Ipson,0
301,Guru,2007,13.0,7.7,1,0,0,0,Mani Ratnam,0
302,Louis C.K. 2017,2017,18.0,7.6,1,0,0,0,Louis C.K.,0
303,A Twelve-Year Night,2018,,7.6,1,0,0,0,Álvaro Brechner,0
304,Happy as Lazzaro,2018,,7.6,1,0,0,0,Alice Rohrwacher,0
305,"What Happened, Miss Simone?",2015,,7.6,1,0,0,0,Liz Garbus,0
306,Blue Jay,2016,,7.3,1,0,1,0,Alex Lehmann,0
307,1922,2017,18.0,6.3,1,0,0,0,Zak Hilditch,0
308,Hancock,2008,13.0,6.4,1,0,0,0,Peter Berg,0
309,Circus of Books,2019,,7.1,1,0,0,0,Rachel Mason,0
310,"Hail, Caesar!",2016,13.0,6.3,1,0,0,0,"Ethan Coen,Joel Coen",0
